uuid,adm4_pcode,date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en,location1.brgy_total_area
osmpa001e83,ph063022075,01/01/2022,499.6936996,363.7211178,196.9624947,396.8407477,0,457.7902327,Delgado-Jalandoni-Bagumbayan,0.0235
osmpa001cac,ph063022085,01/01/2022,190.5389452,294.0506745,0,755.2952384,524.0076586,348.0989287,Laguda,0.0537
osmpa001cab,ph063022132,01/01/2022,249.8244549,554.3234824,212.8214478,600.8019163,79.37366788,1151.978301,Progreso-Lapuz,0.2741
osmpa001caa,ph063022092,01/01/2022,554.8972368,553.3267518,238.7901259,1168.852374,0,1370.429642,Libertad-Lapuz,0.0383
osmpa001ca9,ph063022054,01/01/2022,11.83687186,332.4723928,0,396.7901675,309.5026931,988.5010362,Edganzon,0.1033
osmpa001ca8,ph063022179,01/01/2022,1913.643415,4253.733371,0,718.8051076,0,5095.125538,Tagbac,1.3724
osmpa001ca7,ph063022176,01/01/2022,790.1732422,117.2621569,0,0,1256.019169,647.9328501,Tabucan,0.3465
osmpa001ca6,ph063022138,01/01/2022,626.0201765,957.1206438,234.0558038,469.3417567,128.7195326,1278.870348,Rizal Ibarra,0.0291
osmpa001ca5,ph063022052,01/01/2022,233.365071,826.2765079,187.9578562,1230.890529,1174.504198,424.7549691,East Baluarte,0.0931
osmpa001cad,ph063022160,01/01/2022,524.1281337,529.5644904,0,329.5769598,421.3239723,265.1577736,San Rafael,1.593
osmpa001ca4,ph063022149,01/01/2022,787.7554713,424.273085,0,861.0419191,529.7509366,899.2861729,San Antonio,0.2179
osmpa001ca2,ph063022109,01/01/2022,5520.084846,1230.878305,455.193299,4581.195377,543.4522027,5562.226398,Mohon,0.1506
osmpa001ca1,ph063022020,01/01/2022,1041.268608,1027.610595,294.2098471,897.2856333,451.4275217,1944.744882,Monica Blumentritt,0.0626
osmpa001ca0,ph063022040,01/01/2022,195.1750031,991.4153581,0,0,264.8073447,1457.625619,Cuartero,0.2656
osmpa001c9f,ph063022152,01/01/2022,2675.599162,2429.303384,245.104988,2058.115951,1884.650383,5152.10475,Hibao-An Norte,0.88
osmpa001c9e,ph063022015,01/01/2022,0,0,0,675.6936635,965.173847,0,Bantud,0.1261
osmpa001c9d,ph063022118,01/01/2022,468.2477022,913.7708588,421.040437,1054.274024,766.8425234,452.7903981,North Baluarte,0.1259
osmpa001c28,ph063022137,01/01/2022,791.1894825,806.4172947,110.8984232,875.5360414,383.589702,610.6349346,Rizal Estanzuela,0.0351
osmpa001c27,ph063022126,01/01/2022,706.3656049,957.0760172,439.1497031,747.2267545,374.083209,971.1558173,Rizal Palapala Ii,0.028
osmpa001ca3,ph063022110,01/01/2022,718.7848229,1087.239888,311.1554497,1491.05287,1138.753127,887.4526154,Molo Boulevard,0.2428
osmpa001cae,ph063022134,01/01/2022,3556.483623,0,0,2919.760463,0,3649.533467,Quezon,0.1627
osmpa001caf,ph063022035,01/01/2022,163.8174744,829.8817377,194.462327,997.0699525,852.1387745,277.6230241,Cochero,0.0588
osmpa001cb0,ph063022029,01/01/2022,645.1949505,753.6016621,110.0565355,2051.365604,1426.852516,605.9485792,Caingin,0.2427
osmpa001d4a,ph063022074,01/01/2022,564.2509633,431.3190282,0,494.6415927,46.57684873,448.9756265,Jalandoni-Wilson,0.0601
osmpa001d49,ph063022034,01/01/2022,1020.565582,1698.638753,44.47583179,694.3909313,386.5465081,1333.456086,El 98 Castilla (Claudio Lopez),0.0161
osmpa001cc1,ph063022182,01/01/2022,799.556606,1568.820617,0,466.7559131,166.1526963,1460.343019,Taytay Zone Ii,0.0576
osmpa001cc0,ph063022167,01/01/2022,3532.452741,448.1279164,0,3148.252555,414.8410364,3655.479726,Santo Niño Norte,0.1965
osmpa001cbf,ph063022196,01/01/2022,1036.838941,477.8719509,33.70269295,8.511201743,302.724926,2625.354587,Pale Benedicto Rizal (Mandurriao),0.3526
osmpa001cbe,ph063022038,01/01/2022,1207.871715,1257.837929,155.2802467,791.4707677,633.5859715,2112.069996,Concepcion-Montes,0.2205
osmpa001cbd,ph063022122,01/01/2022,790.8915239,1147.034361,4.161937063,0,297.7472095,1729.758556,Ortiz,0.0962
osmpa001cbc,ph063022150,01/01/2022,286.0332026,97.37016218,0,278.4811318,427.4276544,0,San Felix,0.0974
osmpa001cbb,ph063022123,01/01/2022,509.3245649,822.125489,442.0099973,674.7318449,223.0531215,1064.066943,Osmeña,0.0313
osmpa001cba,ph063022077,01/01/2022,107.3076336,508.0944269,172.6574283,1728.363021,1464.049495,192.1256244,Jereos,0.177
osmpa001cb9,ph063022099,01/01/2022,0,0,0,1242.312998,889.997374,3.639567062,Burgos-Mabini-Plaza,0.2388
osmpa001cb8,ph063022183,01/01/2022,1078.75628,924.2856371,0,1961.539241,1515.966264,1005.571641,Ticud (La Paz),1.1731
osmpa001cb7,ph063022114,01/01/2022,248.2483335,86.09767983,0,78.21633052,611.48469,97.53964538,Nabitasan,0.795
osmpa001cb6,ph063022197,01/01/2022,653.349961,720.7755977,47.72033947,737.0697893,205.8940878,520.706453,Kahirupan,0.0299
osmpa001cb5,ph063022158,01/01/2022,365.3753263,63.16179658,6.231637485,356.6918728,1319.228777,247.2558087,San Pedro (Molo),0.2501
osmpa001cb4,ph063022164,01/01/2022,4088.783383,12.63346547,54.77499168,3268.111026,0,4150.446755,Santa Filomena,0.3493
osmpa001cb3,ph063022095,01/01/2022,545.5867446,294.7002162,48.78439762,1561.695086,1056.269375,299.2554343,Lopez Jaena Norte,0.1136
osmpa001cb2,ph063022144,01/01/2022,648.5196752,226.9074319,0,1304.634644,0,3398.521972,Sambag,1.2658
osmpa001cb1,ph063022194,01/01/2022,3597.234672,117.1942209,0,3069.302237,145.2475238,3705.350135,Yulo Drive,0.5085
osmpa001e82,ph063022057,01/01/2022,546.7736224,822.2140555,241.2820503,847.0294892,319.6862597,770.4641664,Flores,0.0383
osmpa001c25,ph063022025,01/01/2022,702.1678449,1337.760308,170.7965354,369.4409744,0,1391.931631,Buhang Taft North,0.3304
osmpa001c24,ph063022022,01/01/2022,703.646493,774.2805165,92.34357849,872.1097137,407.4355724,457.6487402,Bonifacio Tanza,0.0428
osmpa001c23,ph063022201,01/01/2022,436.9515921,776.2699259,0,1129.893318,1509.540778,525.8064689,Tabuc Suba (La Paz),0.9401
